Edad,Hombres,Mujeres
 Menores de 1,255,182
 1-4 ,38.33,37
 5-9 ,13.33,9.67
 10-14 ,22,12.33
 15-19 ,67.33,31
 20-24 ,137.33,31.67
 25-29 ,122.67,37
 30-34 ,128.67,43
 35-39 ,112,63.67
 40-44 ,192.67,80.67
 45-49 ,187,99.33
 50-54 ,229.33,151.33
 55-59 ,282,204
 60-64 ,312,256.67
 65-69 ,401.67,287.33
 70-74 ,452.67,326.67
 75-79 ,514,417
 80-84 ,492,380.67
 85  y mas,638.33,686.67
