Edad,Hombres,Mujeres
0,15944,15427
1,16077,15272
2,16744,16300
3,16394,16474
4,16887,16181
5,16612,15867
6,16998,16579
7,16665,16445
8,17442,16446
9,17106,16693
10,18055,17150
11,16118,15971
12,17414,16699
13,16387,15672
14,16995,16719
15,17541,16837
16,16287,16149
17,17391,17157
18,17847,17040
19,14970,15147
20,15703,16226
21,13632,14095
22,14610,15104
23,13753,14057
24,12682,13515
25,12441,13284
26,11260,12391
27,11308,11965
28,11624,12146
29,10345,10950
30,12774,13755
31,9146,9978
32,11703,12679
33,10954,12052
34,10594,11659
35,11425,12375
36,11194,12188
37,10463,11197
38,11555,12394
39,9607,10439
40,11752,12822
41,7338,8313
42,10924,11603
43,8468,9285
44,7625,8729
45,9212,10284
46,7659,8542
47,7358,8219
48,7768,8608
49,6970,7896
50,9032,9810
51,5190,5788
52,6848,7646
53,6204,6787
54,6048,6921
55,6273,6828
56,5580,5830
57,4583,4883
58,4812,5399
59,4774,4913
60,5967,6386
61,3093,3448
62,4458,4748
63,4086,4485
64,3814,4208
65,4247,4524
66,3216,3474
67,3209,3231
68,3295,3463
69,2981,2961
70,4084,4212
71,2035,2108
72,3154,3222
73,2813,2842
74,2532,2731
75,2611,2639
76,2056,2130
77,1752,1756
78,1961,1983
79,1359,1348
80,1834,2107
81,864,864
82,1164,1196
83,941,1022
84,948,1099
85,873,1012
86,699,754
87,554,562
88,434,459
89,325,407
90,370,466
91,107,144
92,157,217
93,114,164
94,95,119
95,88,122
96,77,103
97,57,70
98,74,66
99,40,56
100 y mas,84,151
No especificado,14203,14205
