Edad, Hombre, Mujer
 Menor de 15 ,117.96,106.1
 De 15 a 19 ,3980.7,3820.28
 De 20 a 24 ,6121.07,5850.39
 De 25 a 29 ,4777.09,4580.03
 De 30 a 34 ,2970.29,2895.23
 De 35 a 39 ,1440.81,1361.52
 De 40 a 44 ,363.4,351.04
 De 45 a 49 ,28.12,42.03
 De 50  y mas ,4.45,36.4
 No especificado,548.22,616.36
